# x86 instruction set description version 0.01.
# https://golang.org/x/arch/x86
#
# This file contains a block of comment lines, each beginning with #,
# followed by entries in CSV format. All the # comments are at the top
# of the file, so a reader can skip past the comments and hand the
# rest of the file to a standard CSV reader.
#
# Each line in the CSV section contains 6 fields:
#
#	mnemonic encoding valid-32 valid-64 feature tags
#
# The mnemonic, encoding, valid-32, valid-64, and feature columns
# correspond exactly to the typical table format used to describe
# an instruction in the Intel x86-64 manual. Note that compared
# to the manual pages, valid-32 and valid-64 have been swapped.
# Consult the manual for details about the meaning of these fields [1].
#
# The tags column contains additional comma-separated tags with information
# about the instructions not gleaned from the manual. The known tags are:
#
#	pseudo, pseudo64 - this is a pseudo-instruction, redundant with some
#	  other instruction in the list; this one should be ignored
#	  for the purposes of decoding.
#
#	operand16, operand32, operand64 - this instruction interpretation
#	  is only valid in 16-bit/32-bit/64-bit operand mode.
#
#	address16, address32, address64 - this instruction interpretation
#	  is only valid in 16-bit/32-bit/64-bit address mode
#
#	modrm_regonly - this instruction interpretation
#	  is only valid if the modrm r/m field denotes a register.
#
#	modrm_memonly - this instruction interpretation
#	  is only valid if the modrm r/m field denotes a memory reference.
#
# This file was generated by a program reading the PDF version of
# the manual, but it was then hand edited to make corrections and
# add the tags. The eventual plan is for the generator to write the
# file directly, using the PDF and a list of modifications, but
# no hand editing. Then, when a new version of the manual comes out,
# updating the list should be as easy as downloading the new PDF
# and invoking the generator. However, we are not there yet.
#
# [1] In the February 2014 PDF manual at
# http://www.intel.com/content/dam/www/public/us/en/documents/manuals/64-ia-32-architectures-software-developer-manual-325462.pdf
# the instruction format is described in Volume 2, Section 3.1.1, starting on page 487.
#
"AAA","37","V","I","",""
"AAD imm8u","D5 ib","V","I","",""
"AAD","D5 0A","V","I","","pseudo"
"AAM imm8u","D4 ib","V","I","",""
"AAM","D4 0A","V","I","","pseudo"
"AAS","3F","V","I","",""
"ADC AL, imm8u","14 ib","V","V","",""
"ADC AX, imm16","15 iw","V","V","","operand16"
"ADC EAX, imm32","15 id","V","V","","operand32"
"ADC RAX, imm32","REX.W + 15 id","N.E.","V","",""
"ADC r/m16, imm16","81 /2 iw","V","V","","operand16"
"ADC r/m16, imm8","83 /2 ib","V","V","","operand16"
"ADC r/m16, r16","11 /r","V","V","","operand16"
"ADC r/m32, imm32","81 /2 id","V","V","","operand32"
"ADC r/m32, imm8","83 /2 ib","V","V","","operand32"
"ADC r/m32, r32","11 /r","V","V","","operand32"
"ADC r/m64, imm32","REX.W + 81 /2 id","N.E.","V","",""
"ADC r/m64, imm8","REX.W + 83 /2 ib","N.E.","V","",""
"ADC r/m64, r64","REX.W + 11 /r","N.E.","V","",""
"ADC r/m8, imm8u","80 /2 ib","V","V","",""
"ADC r/m8, imm8u","REX + 80 /2 ib","N.E.","V","","pseudo64"
"ADC r/m8, r8","10 /r","V","V","",""
"ADC r/m8, r8","REX + 10 /r","N.E.","V","","pseudo64"
"ADC r16, r/m16","13 /r","V","V","","operand16"
"ADC r32, r/m32","13 /r","V","V","","operand32"
"ADC r64, r/m64","REX.W + 13 /r","N.E.","V","",""
"ADC r8, r/m8","12 /r","V","V","",""
"ADC r8, r/m8","REX + 12 /r","N.E.","V","","pseudo64"
"ADD AL, imm8u","04 ib","V","V","",""
"ADD AX, imm16","05 iw","V","V","","operand16"
"ADD EAX, imm32","05 id","V","V","","operand32"
"ADD RAX, imm32","REX.W + 05 id","N.E.","V","",""
"ADD r/m16, imm16","81 /0 iw","V","V","","operand16"
"ADD r/m16, imm8","83 /0 ib","V","V","","operand16"
"ADD r/m16, r16","01 /r","V","V","","operand16"
"ADD r/m32, imm32","81 /0 id","V","V","","operand32"
"ADD r/m32, imm8","83 /0 ib","V","V","","operand32"
"ADD r/m32, r32","01 /r","V","V","","operand32"
"ADD r/m64, imm32","REX.W + 81 /0 id","N.E.","V","",""
"ADD r/m64, imm8","REX.W + 83 /0 ib","N.E.","V","",""
"ADD r/m64, r64","REX.W + 01 /r","N.E.","V","",""
"ADD r/m8, imm8u","80 /0 ib","V","V","",""
"ADD r/m8, imm8u","REX + 80 /0 ib","N.E.","V","","pseudo64"
"ADD r/m8, r8","00 /r","V","V","",""
"ADD r/m8, r8","REX + 00 /r","N.E.","V","","pseudo64"
"ADD r16, r/m16","03 /r","V","V","","operand16"
"ADD r32, r/m32","03 /r","V","V","","operand32"
"ADD r64, r/m64","REX.W + 03 /r","N.E.","V","",""
"ADD r8, r/m8","02 /r","V","V","",""
"ADD r8, r/m8","REX + 02 /r","N.E.","V","","pseudo64"
"ADDPD xmm1, xmm2/m128","66 0F 58 /r","V","V","SSE2",""
"ADDPS xmm1, xmm2/m128","0F 58 /r","V","V","SSE",""
"ADDSD xmm1, xmm2/m64","F2 0F 58 /r","V","V","SSE2",""
"ADDSS xmm1, xmm2/m32","F3 0F 58 /r","V","V","SSE",""
"ADDSUBPD xmm1, xmm2/m128","66 0F D0 /r","V","V","SSE3",""
"ADDSUBPS xmm1, xmm2/m128","F2 0F D0 /r","V","V","SSE3",""
"AESDEC xmm1, xmm2/m128","66 0F 38 DE /r","V","V","AES",""
"AESDECLAST xmm1, xmm2/m128","66 0F 38 DF /r","V","V","AES",""
"AESENC xmm1, xmm2/m128","66 0F 38 DC /r","V","V","AES",""
"AESENCLAST xmm1, xmm2/m128","66 0F 38 DD /r","V","V","AES",""
"AESIMC xmm1, xmm2/m128","66 0F 38 DB /r","V","V","AES",""
"AESKEYGENASSIST xmm1, xmm2/m128, imm8u","66 0F 3A DF /r ib","V","V","AES",""
"AND AL, imm8u","24 ib","V","V","",""
"AND AX, imm16","25 iw","V","V","","operand16"
"AND EAX, imm32","25 id","V","V","","operand32"
